genotype,pop,timepoint,replicate,control_ave,n_adults,productivity_normalised
mX,4,2,21,13.785714285714285,13,0.9430051813471503
mX,4,2,22,13.785714285714285,0,0
mX,4,2,23,13.785714285714285,0,0
mX,4,2,24,13.785714285714285,0,0
mX,4,2,25,13.785714285714285,0,0
mX,4,2,26,13.785714285714285,9,0.6528497409326426
mX,4,2,27,13.785714285714285,11,0.7979274611398964
mX,4,2,28,13.785714285714285,2,0.1450777202072539
mX,4,2,29,13.785714285714285,3,0.21761658031088085
mX,4,2,30,13.785714285714285,NA,NA
mX,4,3,1,8.915492957746478,14,1.5703001579778832
mX,4,3,2,8.915492957746478,14,1.5703001579778832
mX,4,3,3,8.915492957746478,10,1.1216429699842023
mX,4,3,4,8.915492957746478,9,1.009478672985782
mX,4,3,5,8.915492957746478,15,1.6824644549763035
mX,4,3,6,8.915492957746478,0,0
mX,4,3,7,8.915492957746478,2,0.22432859399684046
mX,4,3,8,8.915492957746478,19,2.131121642969984
mX,4,3,9,8.915492957746478,1,0.11216429699842023
mX,4,3,10,8.915492957746478,6,0.6729857819905214
mX,4,3,11,8.915492957746478,17,1.906793048973144
mX,4,3,12,8.915492957746478,9,1.009478672985782
mX,4,3,13,8.915492957746478,10,1.1216429699842023
mX,4,3,14,8.915492957746478,5,0.5608214849921012
mX,4,3,15,8.915492957746478,7,0.7851500789889416
mX,4,3,16,8.915492957746478,10,1.1216429699842023
mX,4,3,17,8.915492957746478,24,2.6919431279620856
mX,4,3,18,8.915492957746478,14,1.5703001579778832
mX,4,3,19,8.915492957746478,7,0.7851500789889416
mX,4,3,20,8.915492957746478,0,0
mX,4,3,21,8.915492957746478,0,0
mX,4,3,22,8.915492957746478,11,1.2338072669826226
mX,4,3,23,8.915492957746478,7,0.7851500789889416
mX,4,3,24,8.915492957746478,18,2.018957345971564
mX,4,3,25,8.915492957746478,8,0.8973143759873619
mX,4,3,26,8.915492957746478,8,0.8973143759873619
mX,4,3,27,8.915492957746478,19,2.131121642969984
mX,4,3,28,8.915492957746478,2,0.22432859399684046
mX,4,3,29,8.915492957746478,26,2.916271721958926
mX,4,3,30,8.915492957746478,1,0.11216429699842023
mX,4,4,1,31.688888888888894,16,0.5049088359046282
mX,4,4,2,31.688888888888894,11,0.34712482468443195
mX,4,4,3,31.688888888888894,12,0.3786816269284712
mX,4,4,4,31.688888888888894,13,0.41023842917251047
mX,4,4,5,31.688888888888894,17,0.5364656381486675
mX,4,4,6,31.688888888888894,16,0.5049088359046282
mX,4,4,7,31.688888888888894,0,0
mX,4,4,8,31.688888888888894,11,0.34712482468443195
mX,4,4,9,31.688888888888894,0,0
mX,4,4,10,31.688888888888894,0,0
mX,4,4,11,31.688888888888894,17,0.5364656381486675
mX,4,4,12,31.688888888888894,20,0.6311360448807853
mX,4,4,13,31.688888888888894,20,0.6311360448807853
mX,4,4,14,31.688888888888894,NA,NA
mX,4,4,15,31.688888888888894,20,0.6311360448807853
mX,4,4,16,31.688888888888894,15,0.473352033660589
mX,4,4,17,31.688888888888894,18,0.5680224403927068
mX,4,4,18,31.688888888888894,15,0.473352033660589
mX,4,4,19,31.688888888888894,17,0.5364656381486675
mX,4,4,20,31.688888888888894,5,0.15778401122019634
mX,4,4,21,31.688888888888894,0,0
mX,4,4,22,31.688888888888894,9,0.2840112201963534
mX,4,4,23,31.688888888888894,12,0.3786816269284712
mX,4,4,24,31.688888888888894,13,0.41023842917251047
mX,4,4,25,31.688888888888894,13,0.41023842917251047
mX,4,4,26,31.688888888888894,12,0.3786816269284712
mX,4,4,27,31.688888888888894,2,0.06311360448807853
mX,4,4,28,31.688888888888894,10,0.31556802244039267
mX,4,4,29,31.688888888888894,14,0.44179523141654975
mX,4,4,30,31.688888888888894,16,0.5049088359046282
mX,4,5,1,20,0,0
mX,4,5,2,20,0,0
mX,4,5,3,20,12,0.6
mX,4,5,4,20,1,0.05
mX,4,5,5,20,26,1.3
mX,4,5,6,20,30,1.5
mX,4,5,7,20,21,1.05
mX,4,5,8,20,10,0.5
mX,4,5,9,20,1,0.05
mX,4,5,10,20,0,0
mX,4,5,11,20,49,2.45
mX,4,5,12,20,31,1.55
mX,4,5,13,20,0,0
mX,4,5,14,20,16,0.8
mX,4,5,15,20,41,2.05
mX,4,5,16,20,42,2.1
mX,4,5,17,20,30,1.5
mX,4,5,18,20,25,1.25
mX,4,5,19,20,0,0
mX,4,5,20,20,0,0
mX,4,5,21,20,7,0.35
mX,4,5,22,20,11,0.55
mX,4,5,23,20,5,0.25
mX,4,5,24,20,0,0
mX,4,5,25,20,23,1.15
mX,4,5,26,20,0,0
mX,4,5,27,20,0,0
mX,4,5,28,20,0,0
mX,4,5,29,20,5,0.25
mX,4,5,30,20,26,1.3
mX,5,1,1,30.133333333333333,25,0.8296460176991151
mX,5,1,2,30.133333333333333,27,0.8960176991150443
mX,5,1,3,30.133333333333333,39,1.2942477876106195
mX,5,1,4,30.133333333333333,0,0
mX,5,1,5,30.133333333333333,19,0.6305309734513275
mX,5,1,6,30.133333333333333,22,0.7300884955752213
mX,5,1,7,30.133333333333333,32,1.0619469026548674
mX,5,1,8,30.133333333333333,34,1.1283185840707965
mX,5,1,9,30.133333333333333,25,0.8296460176991151
mX,5,1,10,30.133333333333333,43,1.426991150442478
mX,5,1,11,30.133333333333333,30,0.995575221238938
mX,5,1,12,30.133333333333333,30,0.995575221238938
mX,5,1,13,30.133333333333333,46,1.5265486725663717
mX,5,1,14,30.133333333333333,19,0.6305309734513275
mX,5,1,15,30.133333333333333,12,0.39823008849557523
mX,5,1,16,30.133333333333333,29,0.9623893805309734
mX,5,1,17,30.133333333333333,0,0
mX,5,1,18,30.133333333333333,34,1.1283185840707965
mX,5,1,19,30.133333333333333,31,1.0287610619469028
mX,5,1,20,30.133333333333333,1,0.033185840707964605
mX,5,1,21,30.133333333333333,21,0.6969026548672567
mX,5,1,22,30.133333333333333,21,0.6969026548672567
mX,5,1,23,30.133333333333333,39,1.2942477876106195
mX,5,1,24,30.133333333333333,40,1.3274336283185841
mX,5,1,25,30.133333333333333,40,1.3274336283185841
mX,5,1,26,30.133333333333333,41,1.3606194690265487
mX,5,1,27,30.133333333333333,15,0.497787610619469
mX,5,1,28,30.133333333333333,0,0
mX,5,1,29,30.133333333333333,12,0.39823008849557523
mX,5,1,30,30.133333333333333,NA,NA
mX,5,2,1,13.785714285714285,10,0.7253886010362695
mX,5,2,2,13.785714285714285,12,0.8704663212435234
mX,5,2,3,13.785714285714285,13,0.9430051813471503
mX,5,2,4,13.785714285714285,0,0
mX,5,2,5,13.785714285714285,8,0.5803108808290156
mX,5,2,6,13.785714285714285,14,1.0155440414507773
mX,5,2,7,13.785714285714285,12,0.8704663212435234
mX,5,2,8,13.785714285714285,2,0.1450777202072539
mX,5,2,9,13.785714285714285,0,0
mX,5,2,10,13.785714285714285,12,0.8704663212435234
mX,5,2,11,13.785714285714285,8,0.5803108808290156
mX,5,2,12,13.785714285714285,0,0
mX,5,2,13,13.785714285714285,10,0.7253886010362695
mX,5,2,14,13.785714285714285,8,0.5803108808290156
mX,5,2,15,13.785714285714285,12,0.8704663212435234
mX,5,2,16,13.785714285714285,5,0.3626943005181347
mX,5,2,17,13.785714285714285,1,0.07253886010362695
mX,5,2,18,13.785714285714285,9,0.6528497409326426
mX,5,2,19,13.785714285714285,3,0.21761658031088085
mX,5,2,20,13.785714285714285,7,0.5077720207253886
mX,5,2,21,13.785714285714285,7,0.5077720207253886
mX,5,2,22,13.785714285714285,11,0.7979274611398964
mX,5,2,23,13.785714285714285,1,0.07253886010362695
mX,5,2,24,13.785714285714285,16,1.1606217616580312
mX,5,2,25,13.785714285714285,0,0
mX,5,2,26,13.785714285714285,9,0.6528497409326426
mX,5,2,27,13.785714285714285,1,0.07253886010362695
mX,5,2,28,13.785714285714285,0,0
mX,5,2,29,13.785714285714285,NA,NA
mX,5,2,30,13.785714285714285,NA,NA
mX,5,3,1,8.915492957746478,15,1.6824644549763035
mX,5,3,2,8.915492957746478,9,1.009478672985782
mX,5,3,3,8.915492957746478,14,1.5703001579778832
mX,5,3,4,8.915492957746478,2,0.22432859399684046
mX,5,3,5,8.915492957746478,21,2.3554502369668247
mX,5,3,6,8.915492957746478,15,1.6824644549763035
mX,5,3,7,8.915492957746478,10,1.1216429699842023
mX,5,3,8,8.915492957746478,13,1.458135860979463
mX,5,3,9,8.915492957746478,17,1.906793048973144
mX,5,3,10,8.915492957746478,2,0.22432859399684046
mX,5,3,11,8.915492957746478,4,0.44865718799368093
mX,5,3,12,8.915492957746478,13,1.458135860979463
mX,5,3,13,8.915492957746478,13,1.458135860979463
mX,5,3,14,8.915492957746478,15,1.6824644549763035
mX,5,3,15,8.915492957746478,15,1.6824644549763035
mX,5,3,16,8.915492957746478,0,0
mX,5,3,17,8.915492957746478,11,1.2338072669826226
mX,5,3,18,8.915492957746478,8,0.8973143759873619
mX,5,3,19,8.915492957746478,18,2.018957345971564
mX,5,3,20,8.915492957746478,15,1.6824644549763035
mX,5,3,21,8.915492957746478,11,1.2338072669826226
mX,5,3,22,8.915492957746478,10,1.1216429699842023
mX,5,3,23,8.915492957746478,8,0.8973143759873619
mX,5,3,24,8.915492957746478,9,1.009478672985782
mX,5,3,25,8.915492957746478,24,2.6919431279620856
mX,5,3,26,8.915492957746478,29,3.2527646129541865
mX,5,3,27,8.915492957746478,8,0.8973143759873619
mX,5,3,28,8.915492957746478,8,0.8973143759873619
mX,5,3,29,8.915492957746478,NA,NA
mX,5,3,30,8.915492957746478,NA,NA
mX,5,4,1,31.688888888888894,15,0.473352033660589
mX,5,4,2,31.688888888888894,1,0.03155680224403926
mX,5,4,3,31.688888888888894,0,0
mX,5,4,4,31.688888888888894,17,0.5364656381486675
mX,5,4,5,31.688888888888894,3,0.0946704067321178
mX,5,4,6,31.688888888888894,17,0.5364656381486675
mX,5,4,7,31.688888888888894,15,0.473352033660589
mX,5,4,8,31.688888888888894,8,0.2524544179523141
mX,5,4,9,31.688888888888894,13,0.41023842917251047
mX,5,4,10,31.688888888888894,12,0.3786816269284712
mX,5,4,11,31.688888888888894,16,0.5049088359046282
mX,5,4,12,31.688888888888894,8,0.2524544179523141
mX,5,4,13,31.688888888888894,20,0.6311360448807853
mX,5,4,14,31.688888888888894,14,0.44179523141654975
mX,5,4,15,31.688888888888894,11,0.34712482468443195
mX,5,4,16,31.688888888888894,4,0.12622720897615705
mX,5,4,17,31.688888888888894,10,0.31556802244039267
mX,5,4,18,31.688888888888894,0,0
mX,5,4,19,31.688888888888894,12,0.3786816269284712
mX,5,4,20,31.688888888888894,11,0.34712482468443195
mX,5,4,21,31.688888888888894,7,0.22089761570827487
mX,5,4,22,31.688888888888894,15,0.473352033660589
mX,5,4,23,31.688888888888894,19,0.599579242636746
mX,5,4,24,31.688888888888894,14,0.44179523141654975
